task,item,selection,reaction time
task I,4,1,1.240
task,item,selection,reaction time
task,item,selection,reaction time
task,item,selection,reaction time
task I,2,1,1.740
task I,4,1,1.980
task I,3,0,2.120
task I,1,0,2.600
task I,0,0,2.280
task,item,selection,reaction time
task I,3,0,1.840
task I,4,1,2.320
task I,2,0,1.940
task,item,selection,reaction time
task,item,selection,reaction time
task I,1,0,1.760
task I,3,1,1.720
task I,4,0,1.300
task I,0,1,1.520
task I,2,1,1.540
task II,4,0,2.640
task II,2,0,2.100
task II,0,0,1.920
task II,1,1,1.580
task II,3,1,1.800
task,item,selection,reaction time
task I,1,0,0.740
task I,2,1,2.780
task,item,selection,reaction time
task I,2,1,1.740
task I,4,0,1.920
task I,1,1,1.900
task I,3,0,1.780
task,item,selection,reaction time
task,item,selection,reaction time
task I,0,0,0.660
task I,3,1,1.500
task I,2,0,1.440
